1 input_1v1.asc 1 Missile against 1 target ' Missile ' Jan 10 2025 22:14:03
  0  0 50
time,lconv,vmach,pdynmc,psiblx,thtblx,phiblx,alppx,phipx,alphax,betax,ppx,qqx,rrx,SBEL1,SBEL2,SBEL3,dvbe,hbe,psivlx,thtvlx,anx,ayx,dts,thrust,gavail,gmax,trcond,dbt,thtpbx,psipbx,all,ann,dtbc,dvtbc,psiobcx,thtobcx,range,azimuthx,elevationx,dpx,dqx,drx,miss,MISS1,MISS2,MISS3,psiptx,thtptx,critmax,
0,0,0.779921,23013.4,0,-0,0,0.000810285,0,0,0,0,-1.1691e-05,0,0.125001,0,-5000,250.002,5000,0,-0.00112337,9.5792e-05,0,10210.3,590.96,9.3143,9.31439,0,10452.3,0,0,0,0,0,0,0,0,10452.3,2.86241,-16.6796,0,0,0,0,0,0,0,0,0,200,
0.05,0,0.806609,24615.4,0,-0.00122743,-0,0.10565,1.20177e-05,0.10565,-1.27111e-09,-8.55865e-11,-0.0784451,3.97932e-08,12.775,-3.93247e-11,-4999.99,258.904,4999.99,-3.4025e-10,-0.108799,0.0133759,-2.9571e-09,10198,32354,10.3233,10.3369,0,10428.3,0,0,0,0,0,0,0,0,10428.3,2.86951,-16.7189,9.95115e-13,-0.003132,2.31455e-09,0,0,0,0,0,0,200,
0.1,0,0.862255,28129,0,-0.0100294,-0,0.189856,6.25598e-06,0.189856,-4.19807e-09,-4.42624e-10,-0.30575,7.2062e-08,26.1647,-1.42224e-10,-4999.95,276.753,4999.95,-5.02634e-10,-0.201311,0.0271245,-2.99388e-09,10185.8,32969.5,12.4539,12.4825,0,10403.6,0,0,0,0,0,0,0,0,10403.6,2.87675,-16.7597,8.15833e-12,-0.0171951,4.86701e-09,0,0,0,0,0,0,200,
0.15,0,0.919145,31963.5,0,-0.0333616,-0,0.247581,4.50045e-06,0.247581,-8.3605e-09,-9.62034e-10,-0.659509,9.87044e-08,40.4567,-2.63101e-10,-4999.89,294.997,4999.89,-4.22833e-10,-0.281807,0.03988,-3.08003e-09,10173.6,33585,14.7528,14.7969,0,10378,0,0,0,0,0,0,0,0,10378,2.88415,-16.8019,1.74237e-11,-0.039756,6.69027e-09,0,0,0,0,0,0,200,
0.2,0,0.977242,36132.3,0,-0.0765176,-0,0.276555,3.78942e-06,0.276555,-1.3463e-08,-1.48108e-09,-1.10038,1.21352e-07,55.6705,-3.33144e-10,-4999.81,313.628,4999.81,-6.03526e-11,-0.353347,0.0508951,-3.27073e-09,10161.3,34200.5,18.0578,18.1176,0,10351.5,0,0,0,0,0,0,0,0,10351.5,2.89172,-16.8457,2.40425e-11,-0.0668358,7.99944e-09,0,0,0,0,0,0,200,
0.25,0,1.03653,40649.8,0,-0.144159,-0,0.2749,-3.90797e-06,0.2749,-1.875e-08,3.8815e-10,-1.63084,7.92418e-08,71.8252,-2.49424e-10,-4999.7,332.639,4999.7,9.24406e-10,-0.418711,0.0573291,7.05695e-09,10149.1,34816,22.8064,22.8805,0,10324,0,0,0,0,0,0,0,0,10324,2.89946,-16.8912,1.95207e-11,-0.096996,8.37424e-09,0,0,0,0,0,0,200,
0.3,0,1.09692,45525.8,0,-0.348171,-0,0.122625,-9.70237,0.120871,-0.0206659,0.000412263,-11.9543,1.65214,88.9396,-0.000293748,-4999.56,352.006,4999.56,-0.00385516,-0.457956,0.562715,-0.0849203,10136.8,35222.1,26.3448,26.3822,0,10295.7,0,0,0,0,10295.7,575.582,2.88609,-16.5905,10295.7,2.90739,-16.9382,-1.43258e-06,2.76405,-0.482338,0,0,0,0,0,0,200,
0.35,0,1.15815,50750.9,0.200215,-1.78067,-0,1.27995,-169.095,-1.25685,-0.242113,-0.214461,-47.8473,7.53229,107.029,-0.00294669,-4999.42,371.638,4999.42,-0.0104733,-0.478641,0.400642,-0.0530458,10124.6,35499.8,29.1714,29.5979,0,10266.5,0,0,0,0,10266.5,594.255,2.65453,-15.2086,10266.5,2.91553,-16.9871,0.000367417,3.95808,-0.685051,0,0,0,0,0,0,200,
0.4,0,1.22032,56347.4,0.683157,-4.84133,-0,4.15462,-170.579,-4.09877,-0.679485,-10.9382,-71.7073,10.6378,126.107,-0.0034719,-4999.23,391.574,4999.23,0.0146984,-0.680073,-0.77336,0.161226,10112.3,35777.5,31.2598,32.766,0,10236.3,0,0,0,0,10236.3,613.559,2.11819,-12.2075,10236.3,2.92386,-17.0377,0.0504296,3.26738,-0.596036,0,0,0,0,0,0,200,
0.45,0,1.28309,62295.8,1.24003,-8.67342,-1.28592,7.56481,-172.304,-7.49745,-1.01017,-28.7819,-81.5285,9.13351,146.186,0.0126822,-4998.92,411.699,4998.92,0.0819887,-1.1301,-1.85702,0.26758,10100.1,36055.1,32.5968,35.4025,0,10205.1,0,0,0,0,10205.1,633.58,1.41773,-8.45443,10205.1,2.9323,-17.0895,0.318597,3.85643,-0.901617,0,0,0,0,0,0,200,
