1 input_1v1.asc 1 Missile against 1 target Jan 10 2025 22:14:01
  0  0 20
time            vmach_m1        SBEL1_m1        SBEL2_m1        SBEL3_m1        
VBEL1_m1        VBEL2_m1        VBEL3_m1        mseek_m1        dvae_t1         
SAEL1_t1        SAEL2_t1        SAEL3_t1        VAEL1_t1        VAEL2_t1        
VAEL3_t1        psial_t1        thtal_t1        phiavx_t1       anx_t1          
0               0               0               0               -5000           
250             0               0               2               250             
10000           500             -2000           -250            4.36049e-12     
-0              0               0               0               0               
0               0.779921        0.125001        0               -5000           
250.002         0               0.00490168      2               250             
9999.75         500             -2000           -250            4.36049e-12     
-0.00203246     3.14159         8.12984e-06     45              1.41421         
0.2             0.977242        55.6705         -3.33144e-10    -4999.81        
313.622         -3.30354e-10    1.93415         2               250             
9949.75         499.805         -2000           -249.992        -1.95779        
-0.00406492     -3.13376        1.62597e-05     45              1.41421         
0.4             1.22032         126.107         -0.0034719      -4999.23        
391.546         0.100446        4.64768         2               250             
9899.75         499.217         -2000           -249.969        -3.92037        
-0.00406492     -3.12591        1.62597e-05     45              1.41421         
0.6             1.47083         212.393         0.309994        -4996.15        
470.849         3.68343         31.2116         2               250             
9849.76         498.237         -2000           -249.931        -5.8827         
-0.00406492     -3.11806        1.62597e-05     45              1.41421         
0.8             1.72829         314.542         1.56753         -4986.66        
550.587         9.20255         65.1877         2               250             
9799.78         496.864         -2000           -249.877        -7.84467        
-0.00406492     -3.11021        1.62597e-05     45              1.41421         
1               1.99099         432.661         4.00626         -4969.92        
630.275         15.2581         103.301         2               250             
9749.81         495.099         -2000           -249.808        -9.80616        
-0.00406492     -3.10236        1.62597e-05     45              1.41421         
1.2             2.25516         566.538         7.69366         -4944.98        
708.657         21.5573         145.767         2               250             
9699.86         492.941         -2000           -249.723        -11.767         
-0.00406492     -3.09451        1.62597e-05     45              1.41421         
1.4             2.52274         716.226         12.6533         -4911.91        
787.835         27.9532         186.036         2               250             
9649.93         490.392         -2000.01        -249.623        -13.7272        
-0.00406492     -3.08666        1.62596e-05     45              1.41421         
1.6             2.78973         881.589         18.9189         -4870.4         
865.556         34.7464         229.479         2               250             
9600.01         487.451         -2000.01        -249.508        -15.6865        
-0.00406492     -3.07881        1.62596e-05     45              1.41421         
1.8             3.05551         1062.35         26.6174         -4819.96        
941.802         42.3147         275.175         2               250             
9550.12         484.117         -2000.01        -249.377        -17.6449        
-0.00406492     -3.07095        1.62596e-05     45              1.41421         
2               3.31952         1258.24         35.8615         -4760.3         
1016.99         50.1394         321.296         2               250             
9500.26         480.393         -2000.01        -249.231        -19.6021        
-0.00406492     -3.0631         1.62596e-05     45              1.41421         
2.2             3.5803          1469.1          46.6556         -4691.57        
1091.49         57.7249         365.625         2               250             
9450.43         476.277         -2000.01        -249.069        -21.5582        
-0.00406492     -3.05525        1.62596e-05     45              1.41421         
2.4             3.83562         1694.75         58.9285         -4614.17        
1164.76         64.9715         408.133         2               250.001         
9400.64         471.77          -2000.01        -248.892        -23.5129        
-0.00406492     -3.0474         1.62596e-05     45              1.41421         
2.6             3.98964         1933.17         72.5275         -4529.05        
1207.57         70.1955         438.188         2               250.001         
9350.88         466.872         -2000.01        -248.7          -25.4662        
-0.00406492     -3.03955        1.62596e-05     45              1.41421         
2.8             3.92595         2173.14         86.6723         -4440.9         
1186.08         70.7812         440.43          2               250.001         
9301.16         461.583         -2000.01        -248.493        -27.4179        
-0.00406491     -3.0317         1.62596e-05     45              1.41421         
3               3.83318         2407.38         100.808         -4353.07        
1156.49         70.5642         437.849         2               250.001         
9251.48         455.905         -2000.01        -248.27         -29.3679        
-0.00406491     -3.02385        1.62596e-05     45              1.41421         
3.2             3.7434          2635.8          114.895         -4265.78        
1127.91         70.3042         434.968         3               250.001         
9201.85         449.836         -2000.01        -248.032        -31.3161        
-0.00406491     -3.016          1.62596e-05     45              1.41421         
3.4             3.65648         2858.61         128.927         -4179.1         
1100.32         69.9966         431.796         3               250.001         
9152.27         443.378         -2000.01        -247.778        -33.2624        
-0.00406491     -3.00815        1.62596e-05     45              1.41421         
3.6             3.57228         3076.04         142.841         -4093.2         
1075.16         67.6624         424.89          4               250.001         
9102.74         436.531         -2000.01        -247.509        -35.2066        
-0.00406491     -3.0003         1.62596e-05     45              1.41421         
3.8             3.49076         3288.68         155.762         -4008.98        
1051.21         61.0927         417.698         4               250.001         
9053.27         429.296         -2000.02        -247.225        -37.1487        
-0.00406491     -2.99245        1.62596e-05     45              1.41421         
4               3.41168         3496.49         167.23          -3925.89        
1026.81         53.7054         413.609         4               250.001         
9003.85         421.672         -2000.02        -246.926        -39.0885        
-0.00406491     -2.9846         1.62596e-05     45              1.41421         
4.2             3.33496         3699.41         177.255         -3843.44        
1002.51         46.6085         410.931         4               250.001         
8954.5          413.66          -2000.02        -246.612        -41.0258        
-0.00406491     -2.97674        1.62596e-05     45              1.41421         
4.4             3.26064         3897.54         185.91          -3761.52        
978.926         39.9638         408.178         4               250.001         
8905.21         405.262         -2000.02        -246.282        -42.9606        
-0.00406491     -2.96889        1.62596e-05     45              1.41421         
4.6             3.18865         4091.04         193.258         -3680.19        
956.183         33.5401         405.044         4               250.001         
8855.98         396.476         -2000.02        -245.937        -44.8928        
-0.00406491     -2.96104        1.62596e-05     45              1.41421         
4.8             3.11886         4280.07         199.341         -3599.53        
934.263         27.4271         401.474         4               250.001         
8806.83         387.305         -2000.02        -245.577        -46.8222        
-0.00406491     -2.95319        1.62596e-05     45              1.41421         
5               3.05115         4464.79         204.229         -3519.63        
913.134         21.6494         397.492         4               250.001         
8757.75         377.748         -2000.02        -245.202        -48.7488        
-0.00406491     -2.94534        1.62596e-05     45              1.41421         
5.2             2.98546         4645.37         208.006         -3440.55        
892.747         16.1914         393.19          4               250.001         
8708.75         367.806         -2000.02        -244.812        -50.6723        
-0.00406491     -2.93749        1.62596e-05     45              1.41421         
5.4             2.92171         4821.93         210.695         -3362.36        
873.02          10.7947         388.714         4               250.001         
8659.83         357.479         -2000.02        -244.407        -52.5927        
-0.00406491     -2.92964        1.62596e-05     45              1.41421         
5.6             2.85983         4994.62         212.325         -3285.08        
853.935         5.57022         384.079         4               250.001         
8610.99         346.769         -2000.02        -243.986        -54.5099        
-0.00406491     -2.92179        1.62596e-05     45              1.41421         
5.8             2.79977         5163.55         212.909         -3208.73        
835.455         0.264746        379.329         4               250.001         
8562.24         335.675         -2000.02        -243.551        -56.4237        
-0.00406491     -2.91394        1.62596e-05     45              1.41421         
6               2.74152         5328.84         212.47          -3133.36        
817.609         -4.5826         374.41          4               250.001         
8513.57         324.199         -2000.02        -243.1          -58.334         
-0.00406491     -2.90609        1.62596e-05     45              1.41421         
6.2             2.68504         5490.63         211.094         -3058.98        
800.374         -9.21238        369.363         4               250.001         
8465            312.342         -2000.03        -242.635        -60.2407        
-0.00406491     -2.89824        1.62596e-05     45              1.41421         
6.4             2.63027         5649.03         208.799         -2985.62        
783.701         -13.7127        364.252         4               250.001         
8416.52         300.103         -2000.03        -242.155        -62.1438        
-0.00406491     -2.89039        1.62595e-05     45              1.41421         
6.6             2.57713         5804.15         205.608         -2913.28        
767.558         -18.1526        359.106         4               250.001         
8368.14         287.485         -2000.03        -241.659        -64.0429        
-0.00406491     -2.88253        1.62595e-05     45              1.41421         
6.8             2.52558         5956.09         201.53          -2841.97        
751.926         -22.4568        353.935         4               250.002         
8319.86         274.486         -2000.03        -241.149        -65.9382        
-0.00406491     -2.87468        1.62595e-05     45              1.41421         
7               2.47554         6104.95         196.576         -2771.71        
736.763         -27.0008        348.75          4               250.002         
8271.68         261.11          -2000.03        -240.624        -67.8294        
-0.00406491     -2.86683        1.62595e-05     45              1.41421         
7.2             2.42697         6250.82         190.727         -2702.47        
722.056         -31.5513        343.56          4               250.002         
8223.61         247.355         -2000.03        -240.084        -69.7164        
-0.00406491     -2.85898        1.62595e-05     45              1.41421         
7.4             2.37987         6393.8          184.01          -2634.28        
707.823         -35.5466        338.392         4               250.002         
8175.65         233.223         -2000.03        -239.53         -71.5991        
-0.00406491     -2.85113        1.62595e-05     45              1.41421         
7.6             2.33415         6533.98         176.473         -2567.12        
694.01          -39.7781        333.227         4               250.002         
